date,change_bps,period
2022-11-02,75,2022
2022-09-21,75,2022
2022-07-27,75,2022
2022-06-16,75,2022
2022-05-05,50,2022
2022-03-17,25,2022
2018-12-20,25,2015-2018
2018-09-27,25,2015-2018
2018-06-14,25,2015-2018
2018-03-22,25,2015-2018
2017-12-14,25,2015-2018
2017-06-15,25,2015-2018
2017-03-16,25,2015-2018
2016-12-15,25,2015-2018
2015-12-17,25,2015-2018
2006-06-29,25,2005-2006
2006-05-10,25,2005-2006
2006-03-28,25,2005-2006
2006-01-31,25,2005-2006
2005-12-13,25,2005-2006
2005-11-01,25,2005-2006
2005-09-20,25,2005-2006
2005-08-09,25,2005-2006
2005-06-30,25,2005-2006
2005-05-03,25,2005-2006
2005-03-22,25,2005-2006
2005-02-02,25,2005-2006
2004-12-14,25,2005-2006
2004-11-10,25,2005-2006
2004-09-21,25,2005-2006
2004-08-10,25,2005-2006
2004-06-30,25,2005-2006
2000-05-16,50,Dot-com
2000-03-21,25,Dot-com
2000-02-02,25,Dot-com
1999-11-16,25,Dot-com
1999-08-24,25,Dot-com
1999-06-30,25,Dot-com
