Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,5.731000,5.735000,5.643000,5.655000,5.655000,0
1998-01-04,null,null,null,null,null,null
1998-01-05,5.585000,5.585000,5.494000,5.498000,5.498000,0
1998-01-06,5.486000,5.531000,5.469000,5.473000,5.473000,0
1998-01-07,5.490000,5.539000,5.469000,5.527000,5.527000,0
1998-01-08,5.477000,5.489000,5.444000,5.465000,5.465000,0
1998-01-09,5.464000,5.514000,5.374000,5.379000,5.379000,0
1998-01-11,null,null,null,null,null,null
1998-01-12,5.358000,5.399000,5.281000,5.370000,5.370000,0
1998-01-13,5.403000,5.423000,5.382000,5.399000,5.399000,0
1998-01-14,5.456000,5.468000,5.394000,5.439000,5.439000,0
1998-01-15,5.411000,5.468000,5.411000,5.460000,5.460000,0
1998-01-16,5.492000,5.517000,5.492000,5.513000,5.513000,0
1998-01-18,null,null,null,null,null,null
1998-01-19,null,null,null,null,null,null
1998-01-20,5.492000,5.546000,5.484000,5.546000,5.546000,0
1998-01-21,5.538000,5.579000,5.517000,5.525000,5.525000,0
1998-01-22,5.513000,5.550000,5.496000,5.533000,5.533000,0
1998-01-23,5.591000,5.687000,5.575000,5.683000,5.683000,0
1998-01-25,null,null,null,null,null,null
1998-01-26,5.666000,5.683000,5.612000,5.616000,5.616000,0
1998-01-27,5.624000,5.700000,5.624000,5.683000,5.683000,0
1998-01-28,5.666000,5.717000,5.645000,5.679000,5.679000,0
1998-01-29,5.670000,5.687000,5.549000,5.557000,5.557000,0
1998-01-30,5.557000,5.586000,5.507000,5.512000,5.512000,0
1998-02-01,null,null,null,null,null,null
1998-02-02,5.528000,5.565000,5.520000,5.557000,5.557000,0
1998-02-03,5.561000,5.570000,5.524000,5.545000,5.545000,0
1998-02-04,5.557000,5.569000,5.532000,5.549000,5.549000,0
1998-02-05,5.557000,5.603000,5.549000,5.599000,5.599000,0
1998-02-06,5.602000,5.661000,5.586000,5.602000,5.602000,0
1998-02-08,null,null,null,null,null,null
1998-02-09,5.619000,5.661000,5.611000,5.640000,5.640000,0
1998-02-10,5.627000,5.636000,5.619000,5.623000,5.623000,0
1998-02-11,5.594000,5.598000,5.573000,5.573000,5.573000,0
1998-02-12,5.520000,5.529000,5.447000,5.525000,5.525000,0
1998-02-13,5.471000,5.496000,5.463000,5.475000,5.475000,0
1998-02-15,null,null,null,null,null,null
1998-02-16,null,null,null,null,null,null
1998-02-17,5.434000,5.443000,5.418000,5.430000,5.430000,0
1998-02-18,5.430000,5.475000,5.406000,5.475000,5.475000,0
1998-02-19,5.483000,5.504000,5.471000,5.496000,5.496000,0
1998-02-20,5.520000,5.545000,5.512000,5.524000,5.524000,0
1998-02-22,null,null,null,null,null,null
1998-02-23,5.492000,5.574000,5.487000,5.570000,5.570000,0
1998-02-24,5.545000,5.695000,5.537000,5.674000,5.674000,0
1998-02-25,5.641000,5.653000,5.607000,5.616000,5.616000,0
1998-02-26,5.616000,5.653000,5.611000,5.641000,5.641000,0
1998-02-27,5.636000,5.703000,5.616000,5.616000,5.616000,0
1998-03-01,null,null,null,null,null,null
1998-03-02,5.628000,5.703000,5.628000,5.703000,5.703000,0
1998-03-03,5.695000,5.779000,5.687000,5.754000,5.754000,0
1998-03-04,5.775000,5.775000,5.724000,5.750000,5.750000,0
1998-03-05,5.699000,5.775000,5.699000,5.767000,5.767000,0
1998-03-06,5.784000,5.830000,5.703000,5.712000,5.712000,0
1998-03-08,null,null,null,null,null,null
1998-03-09,5.703000,5.712000,5.645000,5.657000,5.657000,0
1998-03-10,5.653000,5.670000,5.645000,5.653000,5.653000,0
1998-03-11,5.628000,5.641000,5.607000,5.616000,5.616000,0
1998-03-12,5.624000,5.636000,5.553000,5.553000,5.553000,0
1998-03-13,5.557000,5.603000,5.553000,5.570000,5.570000,0
1998-03-15,null,null,null,null,null,null
1998-03-16,5.557000,5.557000,5.524000,5.528000,5.528000,0
1998-03-17,5.532000,5.549000,5.499000,5.549000,5.549000,0
1998-03-18,5.545000,5.570000,5.541000,5.561000,5.561000,0
1998-03-19,5.557000,5.611000,5.557000,5.574000,5.574000,0
1998-03-20,5.566000,5.574000,5.553000,5.561000,5.561000,0
1998-03-22,null,null,null,null,null,null
1998-03-23,5.586000,5.595000,5.553000,5.561000,5.561000,0
1998-03-24,5.566000,5.574000,5.545000,5.561000,5.561000,0
1998-03-25,5.545000,5.628000,5.528000,5.624000,5.624000,0
1998-03-26,5.645000,5.658000,5.624000,5.658000,5.658000,0
1998-03-27,5.649000,5.687000,5.637000,5.670000,5.670000,0
1998-03-29,null,null,null,null,null,null
1998-03-30,5.670000,5.717000,5.666000,5.704000,5.704000,0
1998-03-31,5.704000,5.708000,5.658000,5.662000,5.662000,0
1998-04-01,5.641000,5.662000,5.603000,5.603000,5.603000,0
1998-04-02,5.582000,5.586000,5.545000,5.545000,5.545000,0
1998-04-03,5.503000,5.503000,5.404000,5.453000,5.453000,0
1998-04-05,null,null,null,null,null,null
1998-04-06,5.462000,5.499000,5.462000,5.495000,5.495000,0
1998-04-07,5.495000,5.520000,5.487000,5.516000,5.516000,0
1998-04-08,5.507000,5.578000,5.503000,5.570000,5.570000,0
1998-04-09,5.541000,5.616000,5.524000,5.574000,5.574000,0
1998-04-10,null,null,null,null,null,null
1998-04-12,null,null,null,null,null,null
1998-04-13,5.578000,5.675000,5.574000,5.649000,5.649000,0
1998-04-14,5.616000,5.650000,5.603000,5.616000,5.616000,0
1998-04-15,5.595000,5.633000,5.595000,5.595000,5.595000,0
1998-04-16,5.578000,5.587000,5.557000,5.574000,5.574000,0
