Date,"Closing Value"
1968-04-01,38.0000
1968-04-02,37.6000
1968-04-03,37.7000
1968-04-04,36.7000
1968-04-05,37.2000
1968-04-08,37.0000
1968-04-09,37.2500
1968-04-10,37.6000
1968-04-11,38.0500
1968-04-16,38.1000
1968-04-17,38.0000
1968-04-18,37.6000
1968-04-19,37.6500
1968-04-22,38.3000
1968-04-23,38.0500
1968-04-24,38.3500
1968-04-25,38.2500
1968-04-26,38.5000
1968-04-29,38.5500
1968-04-30,39.1000
1968-05-01,39.1000
1968-05-02,39.2500
1968-05-03,39.6000
1968-05-06,39.7000
1968-05-07,39.3000
1968-05-08,39.5000
1968-05-09,39.7000
1968-05-10,39.8000
1968-05-13,39.4000
1968-05-14,39.6000
1968-05-15,40.1000
1968-05-16,40.8500
1968-05-17,41.6000
1968-05-20,42.0000
1968-05-21,42.6000
1968-05-22,42.2000
1968-05-23,41.5000
1968-05-24,41.7500
1968-05-27,41.5000
1968-05-28,41.6000
1968-05-29,41.5000
1968-05-30,41.7500
1968-05-31,42.0000
1968-06-04,41.2000
1968-06-05,41.4000
1968-06-06,41.2500
1968-06-07,41.2000
1968-06-10,41.3500
1968-06-11,41.3000
1968-06-12,42.1000
1968-06-13,41.4000
1968-06-14,40.2000
1968-06-17,40.9000
1968-06-18,40.7000
1968-06-19,41.4000
1968-06-20,41.0500
1968-06-21,41.0500
1968-06-24,41.0500
1968-06-25,40.8500
1968-06-26,40.9500
1968-06-27,40.8000
1968-06-28,40.9500
1968-07-01,40.9000
1968-07-02,40.8500
1968-07-03,40.9000
1968-07-04,41.0500
1968-07-05,41.1000
1968-07-08,40.9500
1968-07-09,40.6000
1968-07-10,40.1500
1968-07-11,39.4000
1968-07-12,39.1000
1968-07-15,39.1500
1968-07-16,38.9000
1968-07-17,37.8000
1968-07-18,38.0000
1968-07-19,39.1000
1968-07-22,38.6500
1968-07-23,38.6500
1968-07-24,39.2000
1968-07-25,39.1000
1968-07-26,38.7500
1968-07-29,38.9000
1968-07-30,39.1000
1968-07-31,38.9000
1968-08-01,38.8000
1968-08-02,38.8000
1968-08-05,38.8500
1968-08-06,38.8500
1968-08-07,38.8000
1968-08-08,38.5500
1968-08-09,38.4500
1968-08-12,38.6000
1968-08-13,38.7500
1968-08-14,38.9500
1968-08-15,39.0000
1968-08-16,39.1000
1968-08-19,39.1500
1968-08-20,39.3500
1968-08-21,40.3000
1968-08-22,39.6500
1968-08-23,39.6500
1968-08-26,39.4000
1968-08-27,39.5500
1968-08-28,39.5500
1968-08-29,39.8000
1968-08-30,39.8500
1968-09-03,39.9800
1968-09-04,39.9000
1968-09-05,39.9500
1968-09-06,40.0000
1968-09-09,40.0000
1968-09-10,40.0000
1968-09-11,40.0000
1968-09-12,40.0500
1968-09-13,40.1800
1968-09-16,40.2000
1968-09-17,40.5500
1968-09-18,40.4500
1968-09-19,40.5300
1968-09-20,40.5000
1968-09-23,40.4300
1968-09-24,40.4800
1968-09-25,40.4300
1968-09-26,40.4500
1968-09-27,40.3000
1968-09-30,39.7000
1968-10-01,39.6000
1968-10-02,38.3000
1968-10-03,39.0000
1968-10-04,38.9000
1968-10-07,39.8000
1968-10-08,39.7500
1968-10-09,39.2000
1968-10-10,38.8300
1968-10-11,39.2000
1968-10-14,39.3000
1968-10-15,39.2000
1968-10-16,38.9500
1968-10-17,39.2000
1968-10-18,39.4000
1968-10-21,39.1000
1968-10-22,38.9500
1968-10-23,39.1800
1968-10-24,39.2000
1968-10-25,39.3000
1968-10-28,39.3800
1968-10-29,39.6000
1968-10-30,39.3000
1968-10-31,39.2000
1968-11-01,38.9000
1968-11-04,39.2500
1968-11-05,39.3300
1968-11-06,39.5000
1968-11-07,39.5300
1968-11-08,39.4000
1968-11-11,39.5000
1968-11-12,39.7300
1968-11-13,39.7500
1968-11-14,39.7500
1968-11-15,40.0000
1968-11-18,40.0000
1968-11-19,40.0500
1968-11-20,40.7500
1968-11-21,40.2500
1968-11-22,40.2000
1968-11-25,40.3000
1968-11-26,40.0800
1968-11-27,39.7500
1968-11-28,39.8500
1968-11-29,39.8500
1968-12-02,39.9000
1968-12-03,40.1500
1968-12-04,40.7800
1968-12-05,40.4500
1968-12-06,40.3500
1968-12-09,40.6300
1968-12-10,40.6800
1968-12-11,40.7500
1968-12-12,41.3000
1968-12-13,40.9000
1968-12-16,40.9800
1968-12-17,41.2000
1968-12-18,41.8300
1968-12-19,41.6800
1968-12-20,41.6500
1968-12-23,41.7000
1968-12-24,41.7000
1968-12-27,41.7000
1968-12-30,42.0000
1968-12-31,41.9500
1969-01-02,41.8000
1969-01-03,41.9000
1969-01-06,42.0300
1969-01-07,42.1000
1969-01-08,42.4500
1969-01-09,42.4800
1969-01-10,42.3000
1969-01-13,42.0000
1969-01-14,42.4000
1969-01-15,42.7500
1969-01-16,42.7000
1969-01-17,41.9000
1969-01-20,42.2000
1969-01-21,42.4000
1969-01-22,42.6000
1969-01-23,42.2000
1969-01-24,42.0000
1969-01-27,42.2000
1969-01-28,42.4500
1969-01-29,42.4500
1969-01-30,42.5500
1969-01-31,42.5500
1969-02-03,42.5000
1969-02-04,42.4800
1969-02-05,42.7000
1969-02-06,42.6300
1969-02-07,42.5500
1969-02-10,42.5500
1969-02-11,42.5300
1969-02-12,42.6000
1969-02-13,42.5500
1969-02-14,42.5000
1969-02-17,42.6500
1969-02-18,42.6300
1969-02-19,42.6500
1969-02-20,42.6000
1969-02-21,42.6300
1969-02-24,42.7000
1969-02-25,42.6800
1969-02-26,42.7000
1969-02-27,42.7500
1969-02-28,42.7800
1969-03-03,42.7500
1969-03-04,42.7500
1969-03-05,42.9000
1969-03-06,43.2500
1969-03-07,43.6000
1969-03-10,43.7500
1969-03-11,43.3000
1969-03-12,43.0300
1969-03-13,43.1500
1969-03-14,43.0000
1969-03-17,43.0300
1969-03-18,42.8500
1969-03-19,43.0800
1969-03-20,43.1300
1969-03-21,43.1800
1969-03-24,43.2500
1969-03-25,43.4000
1969-03-26,43.3500
1969-03-27,43.4800
1969-03-28,43.3000
1969-03-31,43.1000
1969-04-01,43.1000
1969-04-02,43.3000
1969-04-03,43.3500
1969-04-08,43.3500
1969-04-09,43.3800
1969-04-10,43.4000
