Date;Earnings
2000,01;49,10
2000,02;50,02
2000,03;50,95
2000,04;51,27
2000,05;51,60
2000,06;51,92
2000,07;52,51
2000,08;53,11
2000,09;53,70
2000,10;52,47
2000,11;51,23
2000,12;50,00
2001,01;48,48
2001,02;46,96
2001,03;45,44
2001,04;42,56
2001,05;39,67
2001,06;36,79
2001,07;33,96
2001,08;31,14
2001,09;28,31
2001,10;27,10
2001,11;25,90
2001,12;24,69
2002,01;24,69
2002,02;24,70
2002,03;24,70
2002,04;25,38
2002,05;26,06
2002,06;26,74
2002,07;27,84
2002,08;28,94
2002,09;30,04
2002,10;29,22
2002,11;28,41
2002,12;27,59
2003,01;28,50
